1850s,3
1860s,4
1870s,1
1880s,16
1890s,1
1900s aughts,22
1910s,6
1920s,2
1930s,6
1940s,10
1950s,36
1960s,35
1970s,37
1980s,18
1990s,9
2000s aughts,6
2010s,3
