1850s,14120
1860s,8120
1870s,800
1880s,1450
1890s,2200
1900s aughts,7275
1910s,3600
1920s,3300
1930s,8000
1940s,7550
1950s,34090
1960s,18690
1970s,4430
1980s,21250
1990s,3800
2000s aughts,34430
2010s,3200
