1850,0
1851,600
1855,9700
1856,420
1858,3400
1860,4840
1861,580
1864,1300
1865,750
1866,650
1870,800
1879,0
1880,950
1887,500
1888,0
1890,2200
1899,0
1900,3000
1903,0
1905,75
1906,0
1909,4200
1910,3000
1913,600
1915,0
1920,1000
1923,0
1924,600
1925,0
1926,0
1928,1700
1930,3800
1931,0
1932,200
1933,0
1934,0
1935,0
1936,0
1937,0
1938,4000
1942,0
1944,5500
1945,0
1946,0
1947,1200
1948,850
1949,0
1950,3100
1951,4000
1952,3000
1953,6700
1954,2800
1955,3700
1956,720
1957,8320
1958,0
1959,1750
1960,6180
1961,0
1962,2500
1963,1350
1964,2700
1965,4600
1966,0
1967,0
1968,0
1969,1360
1970,0
1971,1930
1972,900
1973,0
1974,0
1975,1600
1976,0
1977,0
1979,0
1980,2800
1981,700
1983,2300
1984,3450
1986,1600
1987,2500
1988,3500
1989,4400
1990,380
1993,2700
1994,300
1996,420
1997,0
2000,1000
2001,5000
2003,200
2004,1200
2005,130
2006,7300
2007,17600
2008,2000
2010,3200
