5/18/2011;1970;0;#VALUE!;#VALUE!
5/18/2011;1986;0;#VALUE!;#VALUE!
5/18/2011;1993,2;2;1993;1/1/1993
5/18/2011;1851,6;6;1851;1/1/1851
5/18/2011;1984,15;15;1984;1/1/1984
5/18/2011;1979;0;#VALUE!;#VALUE!
5/18/2011;2007,5;5;2007;1/1/2007
5/18/2011;1934;0;#VALUE!;#VALUE!
5/18/2011;1989;0;#VALUE!;#VALUE!
5/18/2011;1933;0;#VALUE!;#VALUE!
5/18/2011;1900,12;12;1900;1/1/1900
5/18/2011;1957,2;2;1957;1/1/1957
5/18/2011;1987,15;15;1987;1/1/1987
5/18/2011;1959;0;#VALUE!;#VALUE!
5/18/2011;1960,15;15;1960;1/1/1960
5/18/2011;1954,8;8;1954;1/1/1954
5/18/2011;2007,6;6;2007;1/1/2007
5/18/2011;1960,15;15;1960;1/1/1960
5/18/2011;1865,75;75;1865;1/1/1865
5/18/2011;2004,4;4;2004;1/1/2004
5/18/2011;1960,45;45;1960;1/1/1960
5/18/2011;1887,5;5;1887;1/1/1887
5/18/2011;1947;0;#VALUE!;#VALUE!
5/18/2011;1989,2;2;1989;1/1/1989
5/18/2011;1858,22;22;1858;1/1/1858
5/18/2011;1972,9;9;1972;1/1/1972
5/18/2011;1984,16;16;1984;1/1/1984
5/18/2011;1858,7;7;1858;1/1/1858
5/18/2011;1955,8;8;1955;1/1/1955
5/18/2011;1905,75;75;1905;1/1/1905
5/18/2011;1952,1;1;1952;1/1/1952
5/18/2011;1890,22;22;1890;1/1/1890
5/18/2011;1860,22;22;1860;1/1/1860
5/18/2011;1870;0;#VALUE!;#VALUE!
5/18/2011;1973;0;#VALUE!;#VALUE!
5/18/2011;1997;0;#VALUE!;#VALUE!
5/18/2011;1988;0;#VALUE!;#VALUE!
5/18/2011;1971,55;55;1971;1/1/1971
5/18/2011;1976;0;#VALUE!;#VALUE!
5/18/2011;1860,4;4;1860;1/1/1860
5/18/2011;1983;0;#VALUE!;#VALUE!
5/18/2011;1960;0;#VALUE!;#VALUE!
5/18/2011;1954,2;2;1954;1/1/1954
5/18/2011;1935;0;#VALUE!;#VALUE!
5/18/2011;1950,9;9;1950;1/1/1950
5/18/2011;1972;0;#VALUE!;#VALUE!
5/18/2011;1984,4;4;1984;1/1/1984
5/18/2011;1960;0;#VALUE!;#VALUE!
5/18/2011;2010;0;#VALUE!;#VALUE!
5/18/2011;2001,5;5;2001;1/1/2001
5/18/2011;1930,4;4;1930;1/1/1930
5/18/2011;2003,2;2;2003;1/1/2003
5/18/2011;1967;0;#VALUE!;#VALUE!
5/18/2011;1955;0;#VALUE!;#VALUE!
5/18/2011;2006,65;65;2006;1/1/2006
5/18/2011;1964,7;7;1964;1/1/1964
5/18/2011;1977;0;#VALUE!;#VALUE!
5/18/2011;1909;0;#VALUE!;#VALUE!
5/18/2011;1963,7;7;1963;1/1/1963
5/18/2011;1924,6;6;1924;1/1/1924
5/18/2011;1994,3;3;1994;1/1/1994
5/18/2011;2005,13;13;2005;1/1/2005
5/18/2011;1870;0;#VALUE!;#VALUE!
