1850s,12
1860s,12
1870s,5
1880s,4
1890s,2
1900s aughts,9
1910s,3
1920s,8
1930s,17
1940s,13
1950s,34
1960s,27
1970s,17
1980s,21
1990s,6
2000s aughts,17
2010s,3
