1850s,4
1860s,1
1870s,3
1880s,6
1900s aughts,2
1910s,1
1920s,4
1930s,25
1940s,23
1950s,43
1960s,26
1970s,25
1980s,25
1990s,11
2000s aughts,13
2010s,3
