1850s,200
1860s,900
1870s,15300
1880s,7300
1900s aughts,550
1910s,0
1920s,800
1930s,31830
1940s,15220
1950s,39100
1960s,33570
1970s,13340
1980s,34030
1990s,6480
2000s aughts,2800
2010s,900
