Auction Date;M/D/Y Format;Price Sold in GBP;Year Artwork Created;GBP to USD;Artist
5/18/2011;1/1/1980;2000;1980;3463,58;David Salle 
5/18/2011;1/1/1935;0;1935;0,00;Aaron Siskind 
5/18/2011;1/1/1986;0;1986;0,00;Sally Mann 
5/18/2011;1/1/1926;0;1926;0,00;Anne Brigman 
5/18/2011;1/1/1984;1600;1984;2770,86;Bob Carlos Clarke 
5/18/2011;1/1/1994;300;1994;519,54;John Blakemore 
5/18/2011;1/1/1949;0;1949;0,00;George Rodger 
5/18/2011;1/1/1934;0;1934;0,00;Wolfgang Suschitzky 
5/18/2011;1/1/1957;0;1957;0,00;Rene Burri 
5/18/2011;1/1/1961;0;1961;0,00;Allen Ginsberg 
5/18/2011;1/1/1870;0;1870;0,00;Unknown
5/18/2011;1/1/1964;0;1964;0,00;Frank Horvat 
5/18/2011;1/1/1970;0;1970;0,00;James Fee 
5/18/2011;1/1/1976;0;1976;0,00;Joel Meyerowitz 
5/18/2011;1/1/1988;0;1988;0,00;John Blakemore 
5/18/2011;1/1/1955;300;1955;519,54;Larry Burrows 
5/18/2011;1/1/1910;3000;1910;5195,37;Fred Judge 
5/18/2011;1/1/1900;0;1900;0,00;Eugène Atget 
5/18/2011;1/1/1971;550;1971;952,48;Terry O'Neill 
5/18/2011;1/1/1900;1800;1900;3117,22;Eugène Atget 
5/18/2011;1/1/1860;400;1860;692,72;Horatio Ross 
5/18/2011;1/1/2007;7000;2007;12122,52;Rob and Nick Carter 
5/18/2011;1/1/1933;0;1933;0,00;Pierre Jahan 
5/18/2011;1/1/1870;0;1870;0,00;Unknown
5/18/2011;1/1/1954;2000;1954;3463,58;Marc Riboud 
5/18/2011;1/1/1938;0;1938;0,00;Bill Brandt 
5/18/2011;1/1/1959;0;1959;0,00;Will McBride 
5/18/2011;1/1/1860;480;1860;831,26;Robert Macpherson 
5/18/2011;1/1/1983;1800;1983;3117,22;Frank Horvat 
5/18/2011;1/1/1965;1500;1965;2597,68;James McDivitt 
5/18/2011;1/1/1888;0;1888;0,00;Attributed to Herbert Barraud 
5/18/2011;1/1/1860;2200;1860;3809,94;John Edward Sache 
5/18/2011;1/1/1925;0;1925;0,00;Tina Modotti 
5/18/2011;1/1/1861;280;1861;484,90;James Mudd 
5/18/2011;1/1/1990;380;1990;658,08;George Tice 
5/18/2011;1/1/1966;0;1966;0,00;Peter Keen 
5/18/2011;1/1/1960;0;1960;0,00;Thurston Hopkins 
5/18/2011;1/1/1960;400;1960;692,72;Enzo Ragazzini 
5/18/2011;1/1/2001;5000;2001;8658,94;Abelardo Morell 
5/18/2011;1/1/1906;0;1906;0,00;Herbert Ponting 
5/18/2011;1/1/1930;1200;1930;2078,15;Albert Rudomine 
5/18/2011;1/1/1925;0;1925;0,00;Sir Frank Brangwyn 
5/18/2011;1/1/1880;0;1880;0,00;Unknown
5/18/2011;1/1/1984;400;1984;692,72;Bob Carlos Clarke 
5/18/2011;1/1/1938;0;1938;0,00;Aaron Siskind 
5/18/2011;1/1/1851;600;1851;1039,07;Hugh Owen 
5/18/2011;1/1/1955;800;1955;1385,43;Yoshiyuki Iwase 
5/18/2011;1/1/1973;0;1973;0,00;Frank Gohlke 
5/18/2011;1/1/1983;500;1983;865,89;Terry O'Neill 
5/18/2011;1/1/1865;750;1865;1298,84;Francis Frith 
5/18/2011;1/1/1972;0;1972;0,00;Elliott Erwitt 
5/18/2011;1/1/1960;150;1960;259,77;Cecil Beaton 
5/18/2011;1/1/1930;400;1930;692,72;Raymond Van Doren 
5/18/2011;1/1/1899;0;1899;0,00;Eugène Atget 
5/18/2011;1/1/1956;140;1956;242,45;Bert Hardy 
5/18/2011;1/1/1989;2000;1989;3463,58;Frank Horvat 
5/18/2011;1/1/1960;180;1960;311,72;Norman Parkinson 
5/18/2011;1/1/1959;550;1959;952,48;Cecil Beaton 
5/18/2011;1/1/1984;1300;1984;2251,33;Bob Carlos Clarke 
5/18/2011;1/1/1947;0;1947;0,00;Edouard Boubat 
5/18/2011;1/1/1956;480;1956;831,26;Angus McBean 
5/18/2011;1/1/1950;900;1950;1558,61;André Villers 
5/18/2011;1/1/1953;100;1953;173,18;Toni Frissell 
5/18/2011;1/1/1984;150;1984;259,77;Hiro 
5/18/2011;1/1/1983;0;1983;0,00;Martin Parr 
5/18/2011;1/1/2010;2200;2010;3809,94;Roksana Ciurysek 
5/18/2011;1/1/1944;5500;1944;9524,84;Robert Capa 
5/18/2011;1/1/1986;1600;1986;2770,86;Lucien Clergue 
5/18/2011;1/1/1935;0;1935;0,00;Nathan Lerner 
5/18/2011;1/1/2010;1000;2010;1731,79;Erich Kukies 
5/18/2011;1/1/1988;3500;1988;6061,26;Keith Arnatt 
5/18/2011;1/1/1958;0;1958;0,00;Eve Arnold 
5/18/2011;1/1/1980;800;1980;1385,43;Bruno Requillart 
5/18/2011;1/1/1955;800;1955;1385,43;Yoshiyuki Iwase 
5/18/2011;1/1/1945;0;1945;0,00;Walker Evans 
5/18/2011;1/1/2008;1000;2008;1731,79;Erich Kukies 
5/18/2011;1/1/1851;0;1851;0,00;Claude Marie Ferrier 
5/18/2011;1/1/2003;200;2003;346,36;Beat Streuli 
5/18/2011;1/1/2007;5000;2007;8658,94;Richard Galpin 
