1961,"3200
",William Klein (b.1928)
1930,"950
",Tim Gidal (1909-1995)
1968,"1500
",Terry O'Neill (b.1938)
1953,Unsold,Elliott Erwitt (b.1928)
1950,"600
",Bert Hardy (1913-1995)
1937,"3500
",Ansel Adams (1902-1984)
1960,Unsold,Bruce Davidson (b.1933)
1930,Unsold,Josef Ehm (1909-1989)
1978,Unsold,Ernst Haas (1921-1986)
1973,"350
",Colin Jones (b.1939)
1985,"1400
",John Gossage (b.1946) and others
1929,Unsold,Josef Sudek (1896-1976)
1955,"1500
",Elliott Erwitt (b.1928)
1880,"550
",Zangaki Brothers (active 1870s-1890s) and others
1961,"500
",Bill Brandt (1904-1983)
1960,Unsold,Jack Smith (1932-1989)
1978,"2800
",Luigi Ghirri (1942-1993)
1992,"5000
",Patrick Demarchelier (b.1943)
1954,"700
",Roy Schatt (b.1909)
1964,Unsold,Osvaldo Salas (1914-1992)
1965,"1200
",Josef Sudek (1896-1976)
1965,Unsold,Kazuo Kitai (b.1944)
1964,"950
",Eikoh Hosoe (b.1933)
1948,"1000
",Willy Ronis (1910-2009)
1973,Unsold,Bill Owens (b.1938)
1945,Unsold,Ruth Bernhard (1905-2006)
1953,"1500
",Alfred Eisenstaedt  (1898-1995)
1975,Unsold,Garry Winogrand (1928-1984)
1963,Unsold,Lewis Morley (1925-2013)
1930,Unsold,Ladislav Emil Berka (1907-1993)
2002,"4200
",Michael Dweck (b.1957)
1973,"350
",Colin Jones (b.1939)
1880,"110
",Pascal Sébah (1823-1886)
1945,Unsold,Alexey Brodovitch (1898-1971)
1983,"900
",John Blakemore (b.1936)
1950,"700
",Bert Hardy (1913-1995)
1968,"2000
",Ansel Adams (1902-1984)
1947,Unsold,Bert Hardy (1913-1995)
1956,"1900
",William Klein (b.1928)
1857,Unsold,James Robertson (1813-1888)
1857,Unsold,Robert Howlett (1831-1858); George Downes
1957,"1600
",Mario Giacomelli (1925-2000)
1949,Unsold,Edouard Boubat (1928-1999)
1969,Unsold,Peter Suschitzky (b.1941)
1974,Unsold,Edouard Boubat (1928-1999)
1962,"1500
",Lawrence Schiller (b.1936)
1940,"2400
",Ruth Orkin (1921-1985)
1975,"600
",John Blakemore (b.1936)
1950,"750
",Thurston Hopkins (b.1913)
1983,"1300
",Aaron Siskind (1903-1991)
1980,"1300
",Elliott Erwitt (b.1928)
1880,Unsold,Frank Meadow Sutcliffe (1853-1941)
1857,Unsold,Leopold-Ernest Mayer; Pierre-Louis Pierson (1822-1
1989,Unsold,Bettina Rheims (b.1952)
1956,"1300
",Ernst Haas (1921-1986)
1957,"1600
",Elliott Erwitt (b.1928)
1977,"850
",Stephen Shore (b.1947)
1951,"5500
",Ruth Orkin (1921-1985)
1950,"300
",Bert Hardy (1913-1995)
1959,Unsold,Josef Sudek (1896-1976)
