5/18/2011,1/1/2008,1000,1080,2008,1731.79,Erich Kukies
5/18/2011,1/1/1909,4200,4536,1909,7273.51,Alvin Langdon Coburn
5/18/2011,1/1/2004,400,432,2004,692.72,Siân Pile
5/18/2011,1/1/1977,0,0,1977,0,Joel Meyerowitz
5/18/2011,1/1/1952,1000,1080,1952,1731.79,Thurston Hopkins
5/18/2011,1/1/1993,2500,2700,1993,4329.47,Mario Cravo Neto
5/18/2011,1/1/1948,850,918,1948,1472.02,Herbert List
5/18/2011,1/1/1866,0,0,1866,0,Emile Gsell
5/18/2011,1/1/1960,0,0,1960,0,Cornell Lucas
5/18/2011,1/1/1936,0,0,1936,0,Fritz Henle
5/18/2011,1/1/1946,0,0,1946,0,Allan Grant
5/18/2011,1/1/2001,0,0,2001,0,Wolfgang Tillmans
5/18/2011,1/1/1980,2000,2160,1980,3463.58,David Salle
5/18/2011,1/1/1935,0,0,1935,0,Aaron Siskind
5/18/2011,1/1/1986,0,0,1986,0,Sally Mann
5/18/2011,1/1/1926,0,0,1926,0,Anne Brigman
5/18/2011,1/1/1984,1600,1728,1984,2770.86,Bob Carlos Clarke
5/18/2011,1/1/1994,300,324,1994,519.54,John Blakemore
5/18/2011,1/1/1949,0,0,1949,0,George Rodger
5/18/2011,1/1/1934,0,0,1934,0,Wolfgang Suschitzky
5/18/2011,1/1/1957,0,0,1957,0,Rene Burri
5/18/2011,1/1/1961,0,0,1961,0,Allen Ginsberg
5/18/2011,1/1/1870,0,0,1870,0,Unknown
5/18/2011,1/1/1964,0,0,1964,0,Frank Horvat
5/18/2011,1/1/1970,0,0,1970,0,James Fee
5/18/2011,1/1/1976,0,0,1976,0,Joel Meyerowitz
5/18/2011,1/1/1988,0,0,1988,0,John Blakemore
5/18/2011,1/1/1955,300,324,1955,519.54,Larry Burrows
5/18/2011,1/1/1910,3000,3240,1910,5195.37,Fred Judge
5/18/2011,1/1/1900,0,0,1900,0,Eugène Atget
5/18/2011,1/1/1971,550,594,1971,952.48,Terry O'Neill
5/18/2011,1/1/1900,1800,1944,1900,3117.22,Eugène Atget
5/18/2011,1/1/1860,400,432,1860,692.72,Horatio Ross
5/18/2011,1/1/2007,7000,7560,2007,12122.52,Rob and Nick Carter
5/18/2011,1/1/1933,0,0,1933,0,Pierre Jahan
5/18/2011,1/1/1870,0,0,1870,0,Unknown
5/18/2011,1/1/1954,2000,2160,1954,3463.58,Marc Riboud
5/18/2011,1/1/1938,0,0,1938,0,Bill Brandt
5/18/2011,1/1/1959,0,0,1959,0,Will McBride
5/18/2011,1/1/1860,480,518.4,1860,831.26,Robert Macpherson
5/18/2011,1/1/1983,1800,1944,1983,3117.22,Frank Horvat
5/18/2011,1/1/1965,1500,1620,1965,2597.68,James McDivitt
5/18/2011,1/1/1888,0,0,1888,0,Attributed to Herbert Barraud
5/18/2011,1/1/1860,2200,2376,1860,3809.94,John Edward Sache
5/18/2011,1/1/1925,0,0,1925,0,Tina Modotti
5/18/2011,1/1/1861,280,302.4,1861,484.9,James Mudd
5/18/2011,1/1/1990,380,410.4,1990,658.08,George Tice
5/18/2011,1/1/1966,0,0,1966,0,Peter Keen
5/18/2011,1/1/1960,0,0,1960,0,Thurston Hopkins
5/18/2011,1/1/1960,400,432,1960,692.72,Enzo Ragazzini
5/18/2011,1/1/2001,5000,5400,2001,8658.94,Abelardo Morell
5/18/2011,1/1/1906,0,0,1906,0,Herbert Ponting
5/18/2011,1/1/1930,1200,1296,1930,2078.15,Albert Rudomine
5/18/2011,1/1/1925,0,0,1925,0,Sir Frank Brangwyn
5/18/2011,1/1/1880,0,0,1880,0,Unknown
5/18/2011,1/1/1984,400,432,1984,692.72,Bob Carlos Clarke
5/18/2011,1/1/1938,0,0,1938,0,Aaron Siskind
5/18/2011,1/1/1851,600,648,1851,1039.07,Hugh Owen
5/18/2011,1/1/1955,800,864,1955,1385.43,Yoshiyuki Iwase
5/18/2011,1/1/1973,0,0,1973,0,Frank Gohlke
5/18/2011,1/1/1983,500,540,1983,865.89,Terry O'Neill
5/18/2011,1/1/1865,750,810,1865,1298.84,Francis Frith
5/18/2011,1/1/1972,0,0,1972,0,Elliott Erwitt
5/18/2011,1/1/1960,150,162,1960,259.77,Cecil Beaton
5/18/2011,1/1/1930,400,432,1930,692.72,Raymond Van Doren
5/18/2011,1/1/1899,0,0,1899,0,Eugène Atget
5/18/2011,1/1/1956,140,151.2,1956,242.45,Bert Hardy
5/18/2011,1/1/1989,2000,2160,1989,3463.58,Frank Horvat
5/18/2011,1/1/1960,180,194.4,1960,311.72,Norman Parkinson
5/18/2011,1/1/1959,550,594,1959,952.48,Cecil Beaton
5/18/2011,1/1/1984,1300,1404,1984,2251.33,Bob Carlos Clarke
5/18/2011,1/1/1947,0,0,1947,0,Edouard Boubat
5/18/2011,1/1/1956,480,518.4,1956,831.26,Angus McBean
5/18/2011,1/1/1950,900,972,1950,1558.61,André Villers
5/18/2011,1/1/1953,100,108,1953,173.18,Toni Frissell
5/18/2011,1/1/1984,150,162,1984,259.77,Hiro
5/18/2011,1/1/1983,0,0,1983,0,Martin Parr
5/18/2011,1/1/2010,2200,2376,2010,3809.94,Roksana Ciurysek
5/18/2011,1/1/1944,5500,5940,1944,9524.84,Robert Capa
5/18/2011,1/1/1986,1600,1728,1986,2770.86,Lucien Clergue
5/18/2011,1/1/1935,0,0,1935,0,Nathan Lerner
5/18/2011,1/1/2010,1000,1080,2010,1731.79,Erich Kukies
5/18/2011,1/1/1988,3500,3780,1988,6061.26,Keith Arnatt
5/18/2011,1/1/1958,0,0,1958,0,Eve Arnold
5/18/2011,1/1/1980,800,864,1980,1385.43,Bruno Requillart
5/18/2011,1/1/1955,800,864,1955,1385.43,Yoshiyuki Iwase
5/18/2011,1/1/1945,0,0,1945,0,Walker Evans
5/18/2011,1/1/2008,1000,1080,2008,1731.79,Erich Kukies
5/18/2011,1/1/1851,0,0,1851,0,Claude Marie Ferrier
5/18/2011,1/1/2003,200,216,2003,346.36,Beat Streuli
5/18/2011,1/1/2007,5000,5400,2007,8658.94,Richard Galpin
5/18/2011,1/1/1858,700,756,1858,1212.25,Felice Beato
5/18/2011,1/1/1903,0,0,1903,0,Edward J. Steichen
5/18/2011,1/1/1900,0,0,1900,0,Eugène Atget
5/18/2011,1/1/2004,400,432,2004,692.72,Siân Pile
5/18/2011,1/1/1913,600,648,1913,1039.07,Alvin Langdon Coburn
5/18/2011,1/1/1952,0,0,1952,0,Erich Hartmann
5/18/2011,1/1/1870,0,0,1870,0,Charles Famin
5/18/2011,1/1/2007,600,648,2007,1039.07,Philippe Blache
5/18/2011,1/1/1858,500,540,1858,865.89,Robert Macpherson
5/18/2011,1/1/1949,0,0,1949,0,George Rodger
5/18/2011,1/1/1864,1300,1404,1864,2251.33,Julia Margaret Cameron
5/18/2011,1/1/1967,0,0,1967,0,Irving Penn
5/18/2011,1/1/1963,700,756,1963,1212.25,Richard Sadler
5/18/2011,1/1/1932,200,216,1932,346.36,F S Lincoln
5/18/2011,1/1/1936,0,0,1936,0,Berenice Abbott
5/18/2011,1/1/1951,4000,4320,1951,6927.15,Edouard Boubat
5/18/2011,1/1/1997,0,0,1997,0,Keith Carter
5/18/2011,1/1/1866,650,702,1866,1125.66,Emile Gsell
5/18/2011,1/1/1850,0,0,1850,0,William. 2nd Earl of Craven
5/18/2011,1/1/1979,0,0,1979,0,Norman Parkinson
5/18/2011,1/1/1856,420,453.6,1856,727.35,Robert Macpherson
5/18/2011,1/1/1860,1100,1188,1860,1904.97,Samuel Bourne
5/18/2011,1/1/1938,4000,4320,1938,6927.15,Margaret Bourke-White
5/18/2011,1/1/1930,2200,2376,1930,3809.94,Arvid Gutschow
