1938,Unsold,Bill Brandt (1904-1983)
1959,Unsold,Will McBride (b.1931)
1860,"480
",Robert Macpherson (1815-1872)
1983,"1800
",Frank Horvat (b.1928)
1965,"1500
",James McDivitt (b.1929)
1888,Unsold,Attributed to Herbert Barraud (1810 -ca.1890)
1860,"2200
",John Edward Sache (1840-1882)
1925,Unsold,Tina Modotti (1896-1942)
1861,"280
",James Mudd (1821 -1906)
1990,"380
",George Tice (b.1938)
1966,Unsold,Peter Keen (1928-2009)
1960,Unsold,Thurston Hopkins (b.1913)
1960,"400
",Enzo Ragazzini (b.1934)
2001,"5000
",Abelardo Morell (b.1948)
1906,Unsold,Herbert Ponting (1870-1935)
1930,"1200
",Albert Rudomine (1892-1975)
1925,Unsold,Sir Frank Brangwyn (1867-1956)
1880,Unsold,Unidentified Photographer
1984,"400
",Bob Carlos Clarke (1950-2006)
1938,Unsold,Aaron Siskind (1903-1991)
1851,"600
",Hugh Owen (1808-1866)
1955,"800
",Yoshiyuki Iwase (1904-2001)
1973,Unsold,Frank Gohlke (b.1942)
1983,"500
",Terry O'Neill (b.1938)
1865,"750
",Francis Frith (1822-1898)
1972,Unsold,Elliott Erwitt (b.1928)
1960,"150
",Cecil Beaton (1904-1980)
1930,"400
",Raymond Van Doren (1906-1991)
1899,Unsold,Eugène Atget (1857-1927)
1956,"140
",Bert Hardy (1913 - 1995)
1989,"2000
",Frank Horvat (b.1928)
1960,"180
",Norman Parkinson (1913-90)
1959,"550
",Cecil Beaton (1904-1980)
1984,"1300
",Bob Carlos Clarke (1950-2006)
1947,Unsold,Edouard Boubat (1923-1999)
1956,"480
",Angus McBean (1904-1990)
1950,"900
",André Villers (b.1930)
1953,"100
",Toni Frissell (1907-88)
1984,"150
","Hiro (Yasuhiro Wakabayashi), (b.1930)"
1983,Unsold,Martin Parr (b.1952)
2010,"2200
",Roksana Ciurysek (b.1974)
1944,"5500
",Robert Capa (1913-1954)
1986,"1600
",Lucien Clergue (b.1934)
1935,Unsold,Nathan Lerner (1913-1997)
2010,"1000
",Erich Kukies (b.1947)
1988,"3500
",Keith Arnatt (1930-2008)
1958,Unsold,Eve Arnold (b.1913)
1980,"800
",Bruno Requillart (b.1947)
1955,"800
",Yoshiyuki Iwase (1904-2001)
1945,Unsold,Walker Evans (1903-1975)
2008,"1000
",Erich Kukies (b.1947)
1851,Unsold,Claude Marie Ferrier (1811 - 1889)
2003,"200
",Beat Streuli (b. 1957)
2007,"5000
",Richard Galpin (b.1975)
1858,"700
",Felice Beato (1832-1909)
1903,Unsold,Edward J. Steichen (1879-1973)
1900,Unsold,Eugène Atget (1857-1927)
2004,"400
",Siân Pile (b.1962)
1913,"600
",Alvin Langdon Coburn (1826-1966)
1952,Unsold,Erich Hartmann (1922-1999)
1870,Unsold,Charles Famin (1809-nd)
2007,"600
",Philippe Blache (b.1948)
1858,"500
",Robert Macpherson (1815-1872)
1949,Unsold,George Rodger (1908-1995)
1864,"1300
",Julia Margaret Cameron (1815-1879)
1967,Unsold,Irving Penn (1917-2009)
1963,"700
",Richard Sadler (b.1927)
1932,"200
",F S Lincoln (1894 - 1976)
1936,Unsold,Berenice Abbott (1898-1991)
1951,"4000
",Edouard Boubat (1923-1999)
1997,Unsold,Keith Carter (b.1948)
1866,"650
",Emile Gsell (1838-1879)
1850,Unsold,"William, 2nd Earl of Craven (1809-1866)"
1979,Unsold,Norman Parkinson (1913-1990)
1856,"420
",Robert Macpherson (1815-1872)
1860,"1100
",Samuel Bourne (1834-1912) and others
1938,"4000
",Margaret Bourke-White (1904-1971)
1930,"2200
",Arvid Gutschow (1900-1984)
1952,"1800
",Ernst Haas (1921-1986)
1920,"1000
",Albert Renger - Patzsch (1887-1966)
1957,"2000
",Rene Burri (b.1933)
2000,"1000
",Roger Ballen (b.1950)
1964,Unsold,Nicolas Tikhomiroff (b.1927)
1855,"9000
",P H Delamotte for Negretti & Zambra
1961,Unsold,Nicolas Tikhomiroff (b.1927)
1964,"700
",Roberto Salas (b.1940)
1954,Unsold,Bert Hardy (1913-1995)
1890,"2200
",John Watt Beattie (1859-1930)
1974,Unsold,Bruno Requillart (b.1947)
1959,"1200
",Burt Glinn (1925-2008)
1938,Unsold,Horst P Horst (1906-1999)
1955,"800
",Yoshiyuki Iwase (1904-2001)
