1850s,200,4,1,200,200,200.0,200
1860s,900,1,1,900,900,900.0,900
1870s,15300,3,3,6800,2000,5100.0,6500
1880s,7300,6,3,4500,400,2433.3333333333335,2400
1900s aughts,550,2,1,550,550,550.0,550
