1938,4000
1951,4000
1974,0
1970,0
1851,0
1928,1700
1861,300
1910,3000
1870,800
1879,0
1965,700
1959,550
1950,0
1957,3200
1938,0
1855,700
1993,2500
1937,0
1968,0
1860,260
1936,0
1950,0
1944,5500
2000,1000
1964,0
1955,800
1880,0
2005,0
1860,400
1913,600
1957,120
1988,3500
1888,0
1957,0
1958,0
1861,280
1935,0
1936,0
1934,0
1855,9000
1962,2400
1996,420
1956,480
1947,0
1851,0
1948,850
1964,0
2007,7000
1856,420
1961,0
1963,650
1962,100
1960,400
1983,500
1987,1000
1949,0
1983,1800
1986,1600
1981,0
1955,1000
1969,1100
1947,1200
1956,100
1984,1300
1952,0
1909,4200
1925,0
1870,0
1930,1200
1899,0
2008,1000
1949,0
1900,0
1920,1000
1948,0
2007,5000
1952,1800
1925,0
1981,400
1949,0
1864,1300
1924,0
2010,2200
1931,0
1965,1500
1964,1300
1953,1600
1959,0
1946,0
1955,300
1964,700
1974,0
1989,2400
1923,0
1980,2000
1900,0
1926,0
1860,1100
1969,260
1900,1800
2001,0
1965,2400
1880,950
1938,0
1906,0
1950,2200
1971,380
1858,500
1966,0
1860,480
1932,200
2004,400
1977,0
1971,0
2004,400
1957,3000
1850,0
1980,800
1915,0
1981,300
1930,2200
2006,800
1866,650
1952,200
1949,0
1953,5000
1938,0
1990,380
1961,0
2008,1000
1975,1600
1953,100
2010,1000
1850,0
1970,0
1986,0
1993,200
1851,600
1984,150
1979,0
2007,5000
1934,0
1989,0
1933,0
1900,1200
1957,2000
1987,1500
1959,0
1960,150
1954,800
2007,600
1960,150
1865,750
2004,400
1960,4500
1887,500
1947,0
1989,2000
1858,2200
1972,900
1984,1600
1858,700
1955,800
1905,75
1952,1000
1890,2200
1860,2200
1870,0
1973,0
1997,0
1988,0
1971,550
1976,0
1860,400
1983,0
1960,0
1954,2000
1935,0
1950,900
1972,0
1984,400
1960,0
2010,0
2001,5000
1930,400
2003,200
1967,0
1955,0
2006,6500
1964,700
1977,0
1909,0
1963,700
1924,600
1994,300
2005,130
1870,0
1959,1200
1960,180
1850,0
1970,0
1903,0
1942,0
1866,0
1945,0
1955,800
1954,0
1971,1000
1960,800
1956,140
